"danish","swedish","pos","example_da","example_sv","note","deck","cefr","tags","audio","audio_example"
"begejstret","entusiastisk","adj","Hun var helt begejstret for idéen.","Hon var helt entusiastisk över idén.","Motsvarar svenska 'begejstrad/entusiastisk'. Vanligt ord för positiv iver.","känslor-b1","b1","adj","audio/da-1f316376f10d2a.mp3","audio/da-1f316376f10d2a-ex.mp3"
"følelse","känsla","noun","Jeg havde en mærkelig følelse i maven.","Jag hade en konstig känsla i magen.","En-ord: 'en følelse'.","känslor-b1","b1","noun","audio/da-1e4d665b7c9ca6.mp3","audio/da-1e4d665b7c9ca6-ex.mp3"
"springe","hoppa","verb","Drengen kunne springe over hækken.","Pojken kunde hoppa över häcken.","Falsk vän: danskt 'springe' = hoppa, INTE springa. Springa heter 'løbe' på danska.","falske-venner-b1","b1","falsk-ven|asymmetrisk","audio/da-1e995da1ce4fbf.mp3","audio/da-1e995da1ce4fbf-ex.mp3"
"hoppe","hoppa","verb","Børnene hopper i sengen.","Barnen hoppar i sängen.","'Hoppe' och 'springe' överlappar för hoppa; 'springe' kan dock även betyda spränga/brista.","verber-b1","b1","verb","audio/da-169038dd5eff66.mp3","audio/da-169038dd5eff66-ex.mp3"
"hue","mössa","noun","Tag din hue på, det er koldt.","Ta på dig mössan, det är kallt.","Rättat: 'hue' = stickad mössa/luva, inte 'hatt' (hatt med brätte = 'hat' på danska). En-ord: 'en hue'.","kläder-b1","b1","noun","audio/da-19dd2befc40280.mp3","audio/da-19dd2befc40280-ex.mp3"
"løbe","springa","verb","Jeg løber en tur hver morgen.","Jag springer en runda varje morgon.","Falsk vän-fälla: 'løbe' = springa. Jämför danskt 'springe' = hoppa.","falske-venner-b1","b1","falsk-ven|asymmetrisk","audio/da-03cbfe456a097d.mp3","audio/da-03cbfe456a097d-ex.mp3"
"brusebad","dusch","noun","Jeg tager et brusebad efter træning.","Jag tar en dusch efter träningen.","'Brusebad' = dusch; verbet är 'tage et brusebad' (= duscha). Et-ord: 'et brusebad'.","hverdag-b1","b1","noun","audio/da-134ba4c62a6c85.mp3","audio/da-134ba4c62a6c85-ex.mp3"
"tilpasse","anpassa","verb","Vi må tilpasse planen til vejret.","Vi måste anpassa planen efter vädret.","Ofta refleksivt: 'tilpasse sig' = anpassa sig.","verber-b1","b1","verb","audio/da-0c1c519f9ae321.mp3","audio/da-0c1c519f9ae321-ex.mp3"
"dyppe","doppa","verb","Hun dyppede kiksen i kaffen.","Hon doppade kexet i kaffet.","Rättat infinitiv: 'dyppe' (användaren skrev substantivformen 'dyp'). 'et dyp' = ett dopp.","verber-b1","b1","verb|stavning","audio/da-0b3e8751e27700.mp3","audio/da-0b3e8751e27700-ex.mp3"
"genstande","saker","noun","Læg dine personlige genstande i skabet.","Lägg dina personliga saker i skåpet.","Plural av 'en genstand' = ett föremål/en sak. Lite mer formellt än 'ting'.","hverdag-b1","b2","noun","audio/da-165cc86b3d2baa.mp3","audio/da-165cc86b3d2baa-ex.mp3"
"bademakker","badkompis","noun","Han er min faste bademakker i svømmehallen.","Han är min fasta badkompis i simhallen.","'makker' = kompis/partner (ledigt). En-ord: 'en bademakker'.","hverdag-b1","b2","noun","audio/da-01f51642d0a82b.mp3","audio/da-01f51642d0a82b-ex.mp3"
"morsomt","roligt","adj","Det var en morsom historie.","Det var en rolig historia.","Rättat från 'mormond' → 'morsomt'. OBS falsk vän: danskt 'roligt' = lugnt, INTE roligt. Roligt/kul heter 'morsomt/sjovt' på danska.","falske-venner-b1","b1","falsk-ven|asymmetrisk","audio/da-05c5f9b7452ed8.mp3","audio/da-05c5f9b7452ed8-ex.mp3"
"måske","kanske","adv","Måske kommer jeg i morgen.","Kanske kommer jag i morgon.","Vanligt satsadverb. Uttal: stumt 'e' i slutet.","hverdag-b1","b1","adv","audio/da-17abb8bed5f760.mp3","audio/da-17abb8bed5f760-ex.mp3"
"Det sørger jeg for at få ordnet","det ser jag till att få fixat","phrase","Bare rolig, det sørger jeg for at få ordnet.","Var lugn, det ser jag till att få fixat.","Rättat: användaren skrev 'søger' (= söker); rätt är 'sørger'. 'sørge for' = se till; 'få ordnet' = få fixat. 'sørge' kan även betyda sörja (gråta), men 'sørge for' = ombesörja.","udtryk-og-idiomer-b2","b2","fras|stavning","audio/da-135c94a6b5dd15.mp3","audio/da-135c94a6b5dd15-ex.mp3"
"tømmermænd","baksmälla","noun","Jeg har tømmermænd efter festen i går.","Jag har baksmälla efter festen i går.","Alltid plural på danska (tømmermænd). Betyder ordagrant 'snickare' men avser baksmälla/bakfylla.","hverdag-b1","b1","falsk-ven|asymmetrisk","audio/da-11151900433eae.mp3","audio/da-11151900433eae-ex.mp3"
"karklud","kökstrasa","noun","Tør bordet af med en karklud.","Torka av bordet med en kökstrasa.","Användaren skrev pluralen 'karklude'; grundformen är 'karklud'. Även 'disktrasa'.","hjem-og-koekken-b1","b1","stavning","audio/da-01e680a9c4e22f.mp3","audio/da-01e680a9c4e22f-ex.mp3"
"anbefaler","rekommenderar","verb","Jeg anbefaler den her restaurant.","Jag rekommenderar den här restaurangen.","Infinitiv: at anbefale. Vanligt även i 'kan varmt anbefales' = kan varmt rekommenderas.","verber-b1","b1","","audio/da-0968ba2bd149d3.mp3","audio/da-0968ba2bd149d3-ex.mp3"
"midlertidig / midlertidigt","temporär / temporärt","adj","Det er kun en midlertidig løsning.","Det är bara en temporär lösning.","Adjektiv: midlertidig; adverb/intetkön: midlertidigt. Synonym på danska: foreløbig.","hverdag-b1","b2","","audio/da-0321fc96238151.mp3","audio/da-0321fc96238151-ex.mp3"
"trinvis","stegvis","adv","Vi indfører ændringerne trinvis.","Vi inför ändringarna stegvis.","Användaren skrev 'Tripvis' — korrekt danska är 'trinvis' (av trin = steg). Synonym: gradvis.","hverdag-b1","b2","stavning","audio/da-0cba241e2aae3b.mp3","audio/da-0cba241e2aae3b-ex.mp3"
"trin","steg / trappsteg","noun","Pas på det øverste trin.","Akta det översta trappsteget.","'trin' = steg (på trappa eller i en process). Danska 'steg' betyder stek (kött). Svenska 'skrin' = litet skrin/ask, inte ett trappsteg.","falske-venner-b1","b1","falsk-ven|omvänd","audio/da-0cfc9ed2e2e98f.mp3","audio/da-0cfc9ed2e2e98f-ex.mp3"
"nemt","lätt","adj","Det var nemt at finde vej.","Det var lätt att hitta dit.","Grundform: nem (lätt/enkel). 'lätt' i betydelsen icke-tung = dansk 'let'; 'nem' = enkel att göra.","hverdag-b1","b1","","audio/da-1873c8227d03e8.mp3","audio/da-1873c8227d03e8-ex.mp3"
"ked af det","ledsen","adj","Hun er ked af det, fordi hunden er væk.","Hon är ledsen för att hunden är borta.","Användaren skrev 'ked - sorligt'. 'ked' ensamt finns inte; det heter 'ked af det' = ledsen/sorgsen. 'jeg er ked af det' = jag är ledsen / jag är ledsen för det.","foelelser-b1","b1","stavning","audio/da-14d1046cab4312.mp3","audio/da-14d1046cab4312-ex.mp3"
"blid","mild","adj","Hun har en blid stemme.","Hon har en mild röst.","Betyder mild, vänlig, sanftmodig. Kan även beskriva väder eller beröring.","hverdag-b1","b2","","audio/da-1c0589fc87557f.mp3","audio/da-1c0589fc87557f-ex.mp3"
"hvad har der stået på?","vad har det pågått? / vad har varit på gång?","phrase","Jeg hørte larm — hvad har der stået på?","Jag hörde oväsen — vad har det pågått?","'stå på' (om en händelse) = pågå/hända. 'Hvad står der på?' = Vad är det som händer? Inte att förväxla med 'stå på' = orka/kämpa på.","udtryk-og-idiomer-b2","b2","fras","audio/da-1d9ef453c09cc9.mp3","audio/da-1d9ef453c09cc9-ex.mp3"
"have","ha / trädgård","other","Vi sidder i haven og drikker kaffe.","Vi sitter i trädgården och dricker kaffe.","Två betydelser: verbet 'at have' = att ha, och substantivet 'en have' = en trädgård. Svenska 'hav' (= dansk 'hav') är ett tredje, orelaterat ord.","falske-venner-b1","b1","falsk-ven|asymmetrisk","audio/da-0ffa737fb3a170.mp3","audio/da-0ffa737fb3a170-ex.mp3"
"bølgerne","vågorna","noun","Bølgerne slår mod stranden.","Vågorna slår mot stranden.","Användaren skrev 'bølgerna'; bestämd plural på danska är 'bølgerne'. Grundform: en bølge.","natur-og-vejr-b1","b1","stavning","audio/da-00435edf672981.mp3","audio/da-00435edf672981-ex.mp3"
"du slår græsset","du klipper gräset","phrase","Om sommeren slår jeg græsset hver uge.","På sommaren klipper jag gräset varje vecka.","Danska använder 'slå græs' (eg. 'slå' = meja) där svenskan säger 'klippa gräs'. Att 'slå' på svenska = slå/slåss, så uttrycket kan låta fel.","falske-venner-b1","b1","fras|falsk-ven|asymmetrisk","audio/da-07fcedd2dfd0c3.mp3","audio/da-07fcedd2dfd0c3-ex.mp3"
"køretøj","fordon","noun","Et tungt køretøj må ikke køre på broen.","Ett tungt fordon får inte köra på bron.","RÄTTAD: användaren skrev 'fartyg', men 'køretøj' = fordon (något man kör på land). Fartyg = dansk 'skib'.","falske-venner-b1","b1","falsk-ven|asymmetrisk","audio/da-1782536c9957c4.mp3","audio/da-1782536c9957c4-ex.mp3"
"blødt","mjukt","adj","Brødet er helt blødt.","Brödet är alldeles mjukt.","Intetkønsform (t-form) av 'blød'. OBS: 'bløt' är norska, inte danska - danskt 'mjuk' = blød/blødt/bløde.","hverdag-b1","b1","stavning","audio/da-0b718770ac65c2.mp3","audio/da-0b718770ac65c2-ex.mp3"
"Det går sin skæve gang","Det går sin gilla gång","phrase","Trods alt går det sin skæve gang.","Trots allt går det sin gilla gång.","Idiom: saker har sin vanliga (lite skeva) gång. Översätt INTE ordagrant till 'sin sneda gång' - det är inte naturlig svenska; det idiomatiska är 'sin gilla gång'.","udtryk-og-idiomer-b2","b2","fras","audio/da-181b46d0ffb885.mp3","audio/da-181b46d0ffb885-ex.mp3"
"Det går godt, tak. Hvad med dig?","Det går bra, tack. Hur är det med dig?","phrase","Det går godt, tak. Hvad med dig?","Det går bra, tack. Hur är det med dig?","Standardsvar i smalltalk. 'Hvad med dig?' = 'Hur är det med dig?' / 'Och du?'.","smalltalk-b1","b1","fras","audio/da-186f3a4b940504.mp3","audio/da-186f3a4b940504-ex.mp3"
"Ja, den gik alt for hurtigt! Hvad med dig? Har du haft en god weekend?","Ja, den gick alldeles för fort! Hur är det med dig? Har du haft en bra helg?","phrase","Ja, den gik alt for hurtigt! Har du haft en god weekend?","Ja, den gick alldeles för fort! Har du haft en bra helg?","Smalltalk om helgen. 'weekend' används på danska där svenskan säger 'helg'. 'alt for' = 'alldeles för'/'allt för'.","smalltalk-b1","b1","fras","audio/da-0d207aa983b266.mp3","audio/da-0d207aa983b266-ex.mp3"
"Velbekomme","smaklig måltid","phrase","Værsgo at spise - velbekomme!","Varsågod och ät - smaklig måltid!","Sägs både före OCH efter måltid på danska. Före = 'smaklig måltid'; efter (svar på 'tak for mad') motsvarar snarare svenskans 'varsågod'.","smalltalk-b1","b1","fras","audio/da-0741e4a4306c67.mp3","audio/da-0741e4a4306c67-ex.mp3"
"begynde","börja","verb","Vi begynder klokken ni.","Vi börjar klockan nio.","Danskan har även 'starte' (mer vardagligt). 'begynde' böjs begyndte/begyndt.","verber-b1","b1","","audio/da-1fcfc58faae4ac.mp3","audio/da-1fcfc58faae4ac-ex.mp3"
"Jeg undrer mig over","Jag undrar","phrase","Jeg undrer mig over, hvorfor han ikke kom.","Jag undrar varför han inte kom.","Danska 'undre sig over' är reflexivt + 'over' där svenskan bara har 'undra (över)'. OBS: 'undre' uttrycker mer förvåning; ren nyfikenhet kan vara 'jeg gad vide'.","verber-b1","b2","asymmetrisk","audio/da-191a41630a11c2.mp3","audio/da-191a41630a11c2-ex.mp3"
"hver","varje","other","Jeg løber hver dag.","Jag springer varje dag.","Determinativ. OBS uttal: 'hver' låter som 'vejr' (väder) - kontext skiljer. Inte att förväxla med 'hvor' (var/vart).","hverdag-b1","b1","uttal","audio/da-06f15e9ce3ac68.mp3","audio/da-06f15e9ce3ac68-ex.mp3"
"prøver","försöker","verb","Jeg prøver at forstå.","Jag försöker förstå.","Infinitiv 'prøve'. Betyder även 'prova' (kläder, smak) - 'prøve en trøje'. Försök + att: 'prøve at'.","verber-b1","b1","","audio/da-17e845f880b1f1.mp3","audio/da-17e845f880b1f1-ex.mp3"
"snakker","pratar","verb","Vi snakker sammen i morgen.","Vi pratar i morgon.","Infinitiv 'snakke', vardagligt 'prata'. Mer formellt/neutralt = 'tale'. 'snakka' finns även i svenskan men är mer dialektalt/vardagligt.","verber-b1","b1","","audio/da-04bc2f8045c654.mp3","audio/da-04bc2f8045c654-ex.mp3"
"gentage","upprepa","verb","Kan du gentage spørgsmålet?","Kan du upprepa frågan?","Böjs gentog/gentaget. Substantiv: 'en gentagelse' = 'en upprepning'.","verber-b1","b1","","audio/da-1f3203cf8276f8.mp3","audio/da-1f3203cf8276f8-ex.mp3"
"stadig","fortfarande","adv","Jeg er stadig sulten.","Jag är fortfarande hungrig.","FALSK VÄN: danska 'stadig' = svenska 'fortfarande' (still). Svenska 'stadig' (stabil, stadig) = danska 'stabil/fast'. Variant: 'stadigvæk'.","falske-venner-b1","b1","falsk-ven|omvänd","audio/da-0dbb3b441615a6.mp3","audio/da-0dbb3b441615a6-ex.mp3"
"er","är","verb","Hun er læge.","Hon är läkare.","Presens av 'at være' (att vara). Uttal: 'er' låter ungefär som svenskt 'ær' med tyst/svagt r.","verber-b1","b1","","audio/da-0d900e1dc45acf.mp3","audio/da-0d900e1dc45acf-ex.mp3"
"ordene","orden","noun","Jeg kender ikke ordene.","Jag kan inte orden.","Bestämd form plural av 'et ord'. Danska bestämd plural-ändelse '-ene' (ordene) där svenskan har '-en' (orden). Obestämd plural: 'ord' (oförändrad) i båda.","hverdag-b1","b1","asymmetrisk","audio/da-0bff6bb7e1454e.mp3","audio/da-0bff6bb7e1454e-ex.mp3"
"ved siden af","bredvid","phrase","Han sad ved siden af mig.","Han satt bredvid mig.","Flerordig på danska: bokstavligt 'vid sidan av'. Kan också betyda 'fel' i uttrycket 'helt ved siden af'.","hverdag-b1","b1","","audio/da-1e35b38b24d3d2.mp3","audio/da-1e35b38b24d3d2-ex.mp3"
"pæn","snygg/fin","adj","Hun har en pæn kjole på.","Hon har en snygg klänning på sig.","Brett ord: både 'snygg/vacker' och 'fin/prydlig/anständig' (en pæn opførsel). Svenska 'pen' i den betydelsen är ålderdomligt/dialektalt.","hverdag-b1","b1","","audio/da-11165e6a7c2dd0.mp3","audio/da-11165e6a7c2dd0-ex.mp3"
"jordbær","jordgubbe","noun","Vi plukkede jordbær i haven.","Vi plockade jordgubbar i trädgården.","Falsk vän i formen: danska 'jordbær' = jordgubbe, inte svenska 'jordbär' (som inte används i modern svenska). 'Bær' = bär. Jämför 'smultron' = skovjordbær.","falske-venner-b1","b1","falsk-ven|asymmetrisk","audio/da-1e6fd0fb7fe79e.mp3","audio/da-1e6fd0fb7fe79e-ex.mp3"
"formue","förmögenhet","noun","Han arvede en stor formue.","Han ärvde en stor förmögenhet.","Stavas 'formue' på danska (inte 'formoue'). Betyder förmögenhet/kapital.","hverdag-b1","b2","stavning","audio/da-0e21adf161c487.mp3","audio/da-0e21adf161c487-ex.mp3"
"ser ud til at have","verkar ha","phrase","Han ser ud til at have travlt.","Han verkar ha bråttom.","'Se ud til at' = verka/se ut att. Fast konstruktion med 'at' + infinitiv.","verber-b1","b1","","audio/da-0c38ab85b45784.mp3","audio/da-0c38ab85b45784-ex.mp3"
"opgivet","gett upp","verb","Jeg har opgivet at overbevise ham.","Jag har gett upp att övertyga honom.","Particip av 'opgive' (ge upp). Betyder också 'uppge/ange' (opgive sit navn).","verber-b1","b1","","audio/da-1b12027fe6d376.mp3","audio/da-1b12027fe6d376-ex.mp3"
"ind imellem","ibland","adv","Ind imellem tager jeg cyklen på arbejde.","Ibland tar jag cykeln till jobbet.","Betyder 'då och då, emellanåt'. Kan också vara konkret 'in emellan/mellan' (fysiskt).","tid-og-numre-b1","b1","","audio/da-0aef7362b8ec13.mp3","audio/da-0aef7362b8ec13-ex.mp3"
"derhjemme","hemma","adv","Jeg blev derhjemme hele dagen.","Jag stannade hemma hela dagen.","'Hemma (där)'. Jämför 'hjemme' (utan der-). 'Herhjemme' = hemma här/här i landet.","hverdag-b1","b1","","audio/da-002bf3ff2cd6ac.mp3","audio/da-002bf3ff2cd6ac-ex.mp3"
"udkommer","släpps","verb","Albummet udkommer på fredag.","Albumet släpps på fredag.","Svenska 'släpps' (passiv av släppa) om utgivning = danska 'udkommer'/'bliver udgivet'. Mer vardagligt: 'kommer' (ut). Original 'Slæpps -> Kommer' var en transkriberingsglosa.","verber-b1","b2","","audio/da-1498a2dca7f80f.mp3","audio/da-1498a2dca7f80f-ex.mp3"
"knap nok","knappt","phrase","Jeg kunne knap nok høre ham.","Jag kunde knappt höra honom.","'Knap nok' = knappt/nätt och jämnt. 'Knap' ensamt betyder också knapp (på klädesplagg) och 'knapp/snäv'.","udtryk-og-idiomer-b2","b1","fras","audio/da-03dfda8e370196.mp3","audio/da-03dfda8e370196-ex.mp3"
"begyndte at lære","började lära mig","phrase","Jeg begyndte at lære dansk sidste år.","Jag började lära mig danska förra året.","'Begynde at' + infinitiv = börja. Notera: danska 'lære' har inget reflexivt 'mig' som svenska 'lära mig'.","verber-b1","b1","","audio/da-09a1661516efef.mp3","audio/da-09a1661516efef-ex.mp3"
"jeg laver bare sjov","jag skämtar","phrase","Slap af, jeg laver bare sjov!","Ta det lugnt, jag bara skämtar!","Naturligast på danska: 'lave sjov' (skämta). 'Jeg joker' förekommer också men är mer vardagligt/engelskinfluerat.","udtryk-og-idiomer-b2","b1","fras","audio/da-0d72b851016cc5.mp3","audio/da-0d72b851016cc5-ex.mp3"
"myldretid","rusningstid","noun","Der er kø på motorvejen i myldretiden.","Det är kö på motorvägen i rusningstid.","'Myldre' = myllra. Trafikens rusningstid (rusningstrafik = myldretrafik).","hverdag-b1","b2","","audio/da-174568efa8bb6e.mp3","audio/da-174568efa8bb6e-ex.mp3"
"sej","cool/tuff","adj","Han er virkelig sej på sin skateboard.","Han är riktigt cool på sin skateboard.","Falsk vän mot svenska 'seg' (= långsam/trög/seg). Danska 'sej' = cool/tuff/tålig; även konkret 'seg' om mat (sejt kød).","falske-venner-b1","b1","falsk-ven|asymmetrisk","audio/da-03cd8664d35161.mp3","audio/da-03cd8664d35161-ex.mp3"
"nysgerrighed","nyfikenhet","noun","Børns nysgerrighed er grænseløs.","Barns nyfikenhet är gränslös.","En-ord: 'en nysgerrighed'. Adjektivet är 'nysgerrig' = nyfiken.","hverdag-b1","b1","stavning","audio/da-0d9bdee0c76f33.mp3","audio/da-0d9bdee0c76f33-ex.mp3"
"lænestol","fåtölj","noun","Han faldt i søvn i lænestolen.","Han somnade i fåtöljen.","Ordagrant 'läns-stol' (stol med armstöd). En-ord: 'en lænestol'.","hverdag-b1","b1","stavning","audio/da-022d48791b42a3.mp3","audio/da-022d48791b42a3-ex.mp3"
"Jeg kan godt lide","jag gillar","phrase","Jeg kan godt lide din nye frisure.","Jag gillar din nya frisyr.","Fast uttryck för 'tycka om/gilla'. 'godt' är obligatoriskt; 'jeg kan lide' utan 'godt' låter ofullständigt.","udtryk-og-idiomer-b1","b1","fras","audio/da-123e14fbc31bdf.mp3","audio/da-123e14fbc31bdf-ex.mp3"
"sådan cirka","typ, ungefär","phrase","Det tog sådan cirka tre måneder.","Det tog typ tre månader.","Motsvarar svenskans utfyllnads-'typ'/'ungefär' vid ungefärlig mängd. Danskan har även 'cirka' ensamt.","udtryk-og-idiomer-b1","b1","fras","audio/da-1d6a1cdc4456d7.mp3","audio/da-1d6a1cdc4456d7-ex.mp3"
