"danish","swedish","pos","example_da","example_sv","note","deck","cefr","tags","audio","audio_example"
"ferie","semester, ledighet","noun","Jeg holder ferie i tre uger til sommer.","Jag har semester i tre veckor till sommaren.","En-ord: 'en ferie'. Falsk vän: danskt 'ferie' = semester/ledighet generellt, inte bara skollov som svensk ferie. Svenskans 'semester' heter 'ferie' på danska.","arbejde-b2","b1","arbejde|falsk-ven|asymmetrisk","audio/da-144a24f2db59e5.mp3","audio/da-144a24f2db59e5-ex.mp3"
"fyre","avskeda, sparka","verb","De var nødt til at fyre tre medarbejdere.","De var tvungna att avskeda tre medarbetare.","Infinitiv: 'at fyre'. Falsk vän: låter som svenskans 'fyra/fira' men betyder avskeda. 'Han blev fyret' = han fick sparken.","arbejde-b2","b2","arbejde|falsk-ven|asymmetrisk","audio/da-0dd14f78f4d14c.mp3","audio/da-0dd14f78f4d14c-ex.mp3"
"ansat","anställd","noun","Virksomheden har over hundrede ansatte.","Företaget har över hundra anställda.","En-ord: 'en ansat', plural 'ansatte'. Används även som particip: 'at være ansat' = att vara anställd.","arbejde-b2","b1","arbejde","audio/da-14949c11cd71f5.mp3","audio/da-14949c11cd71f5-ex.mp3"
"kollega","kollega","noun","Min kollega hjælper mig med opgaven.","Min kollega hjälper mig med uppgiften.","En-ord: 'en kollega', plural 'kolleger' eller 'kollegaer'.","arbejde-b2","b1","arbejde","audio/da-0917a39747f24d.mp3","audio/da-0917a39747f24d-ex.mp3"
"chef","chef","noun","Jeg skal tale med min chef i morgen.","Jag ska prata med min chef imorgon.","En-ord: 'en chef'. Uttalas med 'sj'-ljud, ungefär 'sjef'.","arbejde-b2","b1","arbejde","audio/da-15fdd8e8b7cbef.mp3","audio/da-15fdd8e8b7cbef-ex.mp3"
"løn","lön","noun","Hun fik en højere løn efter forfremmelsen.","Hon fick en högre lön efter befordran.","En-ord: 'en løn'. Stavas med ø: svenskt ö blir ø på danska.","arbejde-b2","b1","arbejde|stavning","audio/da-098325d75f8a30.mp3","audio/da-098325d75f8a30-ex.mp3"
"ansøgning","ansökan","noun","Jeg sendte min ansøgning i sidste uge.","Jag skickade min ansökan förra veckan.","En-ord: 'en ansøgning'. Verbet är 'at ansøge' = att ansöka. Stavas med ø.","arbejde-b2","b2","arbejde|stavning","audio/da-0b7886bf37595f.mp3","audio/da-0b7886bf37595f-ex.mp3"
"opgave","uppgift","noun","Den her opgave er svær at løse.","Den här uppgiften är svår att lösa.","En-ord: 'en opgave'. Notera danskt 'op' där svenskan har 'upp'.","arbejde-b2","b1","arbejde","audio/da-12b72b08f9567b.mp3","audio/da-12b72b08f9567b-ex.mp3"
"fuldtid","heltid","noun","Hun arbejder på fuld tid.","Hon arbetar på heltid.","En-ord: 'en fuldtid'. 'Fuld' = full/hel; svenskt 'hel-' blir 'fuld-' här, inte 'heltid'. I uttrycket skrivs ofta 'på fuld tid' i to ord.","arbejde-b2","b2","arbejde","audio/da-0bfb969b2f8b30.mp3","audio/da-0bfb969b2f8b30-ex.mp3"
"deltid","deltid","noun","Han er ansat på deltid.","Han är anställd på deltid.","En-ord: 'en deltid'. Samma som svenska, men uttalas med blødt d i slutet.","arbejde-b2","b2","arbejde","audio/da-14eccc62d548b1.mp3","audio/da-14eccc62d548b1-ex.mp3"
"overarbejde","övertid","noun","Der er meget overarbejde i denne uge.","Det är mycket övertid den här veckan.","Et-ord: 'et overarbejde'. Obs: svenskt 'övertid' heter 'overarbejde', inte 'overtid'.","arbejde-b2","b2","arbejde","audio/da-1e75ab2d86e83e.mp3","audio/da-1e75ab2d86e83e-ex.mp3"
"vikar","vikarie","noun","Vi får en vikar, mens hun er på barsel.","Vi får en vikarie medan hon är föräldraledig.","En-ord: 'en vikar'. Kortare form än svenskans 'vikarie'.","arbejde-b2","b2","arbejde","audio/da-0242a4290068e5.mp3","audio/da-0242a4290068e5-ex.mp3"
"arbejdsplads","arbetsplats","noun","Det er en god arbejdsplads med søde kolleger.","Det är en bra arbetsplats med trevliga kollegor.","En-ord: 'en arbejdsplads'. 'Arbejd-' med j där svenskan har 'arbet-'.","arbejde-b2","b1","arbejde|stavning","audio/da-12ed5cb4421c0e.mp3","audio/da-12ed5cb4421c0e-ex.mp3"
"sygemelde sig","sjukanmäla sig","phrase","Jeg er nødt til at sygemelde mig i dag.","Jag måste sjukanmäla mig idag.","Reflexivt verb: 'at sygemelde sig'. 'Syg' = sjuk; svenskt 'sjuk-' blir 'syge-'.","arbejde-b2","b2","arbejde|fras","audio/da-1f90b7aa130db4.mp3","audio/da-1f90b7aa130db4-ex.mp3"
"hoved","huvud","noun","Jeg har ondt i hovedet.","Jag har ont i huvudet.","Et-ord: 'et hoved'. Slut-d:t är stumt, ordet uttalas ungefär 'houe'.","krop-og-sundhed-b1","b1","krop|noun","audio/da-198b138fdc9c66.mp3","audio/da-198b138fdc9c66-ex.mp3"
"hals","hals","noun","Jeg har ondt i halsen.","Jag har ont i halsen.","En-ord: 'en hals'. Fungerar precis som svenska 'hals' – 'ondt i halsen' = ont i halsen. (Nacken bakom heter 'nakken'.)","krop-og-sundhed-b1","b1","krop|noun","audio/da-1dd7210f5818ac.mp3","audio/da-1dd7210f5818ac-ex.mp3"
"mave","mage","noun","Hun har ondt i maven.","Hon har ont i magen.","En-ord: 'en mave'. Stavas med v där svenskan har g (mage → mave).","krop-og-sundhed-b1","b1","krop|stavning","audio/da-1f731a8ad7f33d.mp3","audio/da-1f731a8ad7f33d-ex.mp3"
"ryg","rygg","noun","Min ryg gør ondt efter løbeturen.","Min rygg gör ont efter löprundan.","En-ord: 'en ryg'. Danskan har bara ett g (rygg → ryg).","krop-og-sundhed-b1","b1","krop|stavning","audio/da-060b0ffe79db89.mp3","audio/da-060b0ffe79db89-ex.mp3"
"ben","ben","noun","Jeg slog mit ben, da jeg faldt.","Jag slog benet när jag föll.","Et-ord: 'et ben'. Betyder både benet man går på och knogle – precis som svenska 'ben', så ingen fälla.","krop-og-sundhed-b1","b1","krop|noun","audio/da-00963d0f3496cd.mp3","audio/da-00963d0f3496cd-ex.mp3"
"knæ","knä","noun","Hun faldt og slog sit knæ.","Hon föll och slog i knät.","Et-ord: 'et knæ'. Svenskt ä blir æ (knä → knæ).","krop-og-sundhed-b1","b1","krop|stavning","audio/da-0a1322d60458c1.mp3","audio/da-0a1322d60458c1-ex.mp3"
"have ondt i","ha ont i","phrase","Jeg har ondt i ryggen.","Jag har ont i ryggen.","Fast konstruktion: 'have ondt i' + kroppsdel. 'ondt' motsvarar svenskt 'ont'.","krop-og-sundhed-b1","b1","krop|fras","audio/da-1c70ae30dc83cb.mp3","audio/da-1c70ae30dc83cb-ex.mp3"
"feber","feber","noun","Barnet har høj feber.","Barnet har hög feber.","En-ord: 'en feber'. Samma ord som på svenska.","krop-og-sundhed-b1","b1","krop|noun","audio/da-1b049be84c0ba2.mp3","audio/da-1b049be84c0ba2-ex.mp3"
"hoste","hosta","verb","Han hoster meget om natten.","Han hostar mycket på natten.","Infinitiv: 'at hoste'. Kan också vara substantiv: 'en hoste' (en-ord) = en hosta.","krop-og-sundhed-b1","b1","krop|verb","audio/da-049f130452188d.mp3","audio/da-049f130452188d-ex.mp3"
"forkølet","förkyld","adj","Jeg er forkølet og snøfter.","Jag är förkyld och snörvlar.","Adjektiv. Att bli förkyld = 'at blive forkølet'. Notera ändelsen -et (inte svenskans -d).","krop-og-sundhed-b1","b1","krop|stavning","audio/da-09a5626e2862a9.mp3","audio/da-09a5626e2862a9-ex.mp3"
"syg","sjuk","adj","Jeg blev syg i weekenden.","Jag blev sjuk i helgen.","Adjektiv. Sjuk → syg. Uttalas med blødt g, nästan som 'sy'.","krop-og-sundhed-b1","b1","krop|stavning","audio/da-0b4686b3ad3f10.mp3","audio/da-0b4686b3ad3f10-ex.mp3"
"sygdom","sjukdom","noun","Det er en alvorlig sygdom.","Det är en allvarlig sjukdom.","En-ord: 'en sygdom'. Sjukdom → sygdom (jämför syg = sjuk).","krop-og-sundhed-b1","b1","krop|stavning","audio/da-03d94760ca66a3.mp3","audio/da-03d94760ca66a3-ex.mp3"
"læge","läkare","noun","Du bør gå til lægen.","Du borde gå till läkaren.","En-ord: 'en læge'. Förväxla inte med 'at lege' (att leka) – nästan samma stavning, helt olika betydelse.","krop-og-sundhed-b1","b1","krop|falsk-ven|asymmetrisk","audio/da-0d1eece9fcc092.mp3","audio/da-0d1eece9fcc092-ex.mp3"
"medicin","medicin","noun","Lægen gav mig noget medicin.","Läkaren gav mig medicin.","En-ord: 'en medicin'. Samma ord som på svenska.","krop-og-sundhed-b1","b1","krop|noun","audio/da-19df8797eb31ce.mp3","audio/da-19df8797eb31ce-ex.mp3"
"recept","recept","noun","Den medicin kræver et recept.","Den medicinen kräver ett recept.","Et-ord: 'et recept' (inte 'en recept'!). Används både om matrecept och läkarrecept.","krop-og-sundhed-b1","b1","krop|noun","audio/da-19088312a8f8c2.mp3","audio/da-19088312a8f8c2-ex.mp3"
"sundhed","hälsa","noun","Motion er godt for sundheden.","Motion är bra för hälsan.","En-ord: 'en sundhed'. Ordagrant 'sundhet' – svenskan saknar denna form och säger 'hälsa'.","krop-og-sundhed-b1","b1","krop|noun","audio/da-15914a6215c018.mp3","audio/da-15914a6215c018-ex.mp3"
"blodtryk","blodtryck","noun","Lægen målte mit blodtryk.","Läkaren mätte mitt blodtryck.","Et-ord: 'et blodtryk'. Danskan har bara ett k på slutet (tryck → tryk).","krop-og-sundhed-b1","b1","krop|stavning","audio/da-1fa0d668b8fb73.mp3","audio/da-1fa0d668b8fb73-ex.mp3"
"stue","vardagsrum","noun","Vi sad i stuen og så fjernsyn.","Vi satt i vardagsrummet och såg på tv.","En-ord: 'en stue'. STARK falsk vän: betyder vardagsrum (och i sammansättningar våningsplan), INTE svensk stuga. Stuga = sommerhus/hytte.","hjem-og-familie-b1","b1","hjem|falsk-ven|asymmetrisk","audio/da-0a3b2f8acedca2.mp3","audio/da-0a3b2f8acedca2-ex.mp3"
"stueetage","bottenvåning","noun","Lejligheden ligger i stueetagen.","Lägenheten ligger på bottenvåningen.","En-ord: 'en stueetage'. 'Stue-' = bottenplan; 'første sal' är en trappa upp, inte bottenvåningen.","hjem-og-familie-b1","b1","hjem","audio/da-0fa8f2df6efab3.mp3","audio/da-0fa8f2df6efab3-ex.mp3"
"værelse","rum","noun","Barnet har sit eget værelse.","Barnet har sitt eget rum.","Et-ord: 'et værelse'. Används om sov-/bostadsrum. Danska 'rum' kan också betyda rum, men 'værelse' är standardordet för ett rum i bostaden.","hjem-og-familie-b1","b1","hjem","audio/da-0c517e4f1888b0.mp3","audio/da-0c517e4f1888b0-ex.mp3"
"lejlighed","lägenhet","noun","De har købt en lejlighed i byen.","De har köpt en lägenhet i staden.","En-ord: 'en lejlighed'. Kan även betyda 'tillfälle' (ved lejlighed = vid tillfälle).","hjem-og-familie-b1","b1","hjem","audio/da-1ff36e0f8c7d71.mp3","audio/da-1ff36e0f8c7d71-ex.mp3"
"bolig","bostad","noun","Det er svært at finde en bolig i København.","Det är svårt att hitta en bostad i Köpenhamn.","En-ord: 'en bolig'. Samlingsord för bostad (hus eller lägenhet).","hjem-og-familie-b1","b1","hjem","audio/da-0680dc4e8bf6a4.mp3","audio/da-0680dc4e8bf6a4-ex.mp3"
"køkken","kök","noun","Hun laver mad i køkkenet.","Hon lagar mat i köket.","Et-ord: 'et køkken'. Stavas med 'kk' och 'ø' – inte som svenska 'kök'.","hjem-og-familie-b1","b1","hjem|stavning","audio/da-02272cc59e8cb9.mp3","audio/da-02272cc59e8cb9-ex.mp3"
"badeværelse","badrum","noun","Badeværelset er lige nyt.","Badrummet är helt nytt.","Et-ord: 'et badeværelse'. Byggs med -værelse, inte -rum (svenska 'badrum').","hjem-og-familie-b1","b1","hjem","audio/da-189d4d97e37aa1.mp3","audio/da-189d4d97e37aa1-ex.mp3"
"soveværelse","sovrum","noun","Vi maler soveværelset i weekenden.","Vi målar sovrummet i helgen.","Et-ord: 'et soveværelse'. Av 'sove' (sova) + 'værelse' (rum).","hjem-og-familie-b1","b1","hjem","audio/da-1860e6a085ef56.mp3","audio/da-1860e6a085ef56-ex.mp3"
"nabo","granne","noun","Vores nabo er meget venlig.","Vår granne är väldigt vänlig.","En-ord: 'en nabo'. Helt annat ord än svenska 'granne' – värt att lära in.","hjem-og-familie-b1","b1","hjem","audio/da-0cf1b275f59c8b.mp3","audio/da-0cf1b275f59c8b-ex.mp3"
"forældre","föräldrar","noun","Mine forældre bor på landet.","Mina föräldrar bor på landet.","Pluralord (plurale tantum): 'forældre'. En förälder = 'en forælder'.","hjem-og-familie-b1","b1","hjem","audio/da-0b9b90faf8f556.mp3","audio/da-0b9b90faf8f556-ex.mp3"
"søskende","syskon","noun","Har du nogen søskende?","Har du några syskon?","Et-ord, samma form i singular och plural: 'et søskende', flere 'søskende'. Stavas med 'ø'.","hjem-og-familie-b1","b1","hjem|stavning","audio/da-142f82c0927094.mp3","audio/da-142f82c0927094-ex.mp3"
"svigermor","svärmor","noun","Min svigermor kommer på besøg.","Min svärmor kommer på besök.","En-ord: 'en svigermor'. Förledet 'sviger-' = svenskans 'svär-': svigerfar, svigerinde (svägerska).","hjem-og-familie-b1","b1","hjem","audio/da-0976e445e8316b.mp3","audio/da-0976e445e8316b-ex.mp3"
"barnebarn","barnbarn","noun","De passer deres barnebarn om fredagen.","De passar sitt barnbarn på fredagarna.","Et-ord: 'et barnebarn', plural 'børnebørn'. Obs det extra 'e' i mitten jämfört med svenska.","hjem-og-familie-b1","b1","hjem|stavning","audio/da-15a19e31bb567c.mp3","audio/da-15a19e31bb567c-ex.mp3"
"fætter","kusin (manlig)","noun","Min fætter bor i Aarhus.","Min kusin (manlig) bor i Århus.","En-ord: 'en fætter'. Danskan könar kusin: fætter = manlig kusin, kusine = kvinnlig.","hjem-og-familie-b1","b1","hjem","audio/da-0f147f1e02f071.mp3","audio/da-0f147f1e02f071-ex.mp3"
"kusine","kusin (kvinnlig)","noun","Jeg skal besøge min kusine.","Jag ska besöka min kusin (kvinnlig).","En-ord: 'en kusine'. Kvinnlig kusin; manlig kusin heter fætter.","hjem-og-familie-b1","b1","hjem","audio/da-1f9d143bc4802e.mp3","audio/da-1f9d143bc4802e-ex.mp3"
"sommerhus","sommarstuga","noun","Vi tager i sommerhus i juli.","Vi åker till sommarstugan i juli.","Et-ord: 'et sommerhus'. Detta (eller 'hytte') är svenskans 'stuga' – INTE 'stue', som betyder vardagsrum.","hjem-og-familie-b1","b1","hjem","audio/da-020f17a9a088e9.mp3","audio/da-020f17a9a088e9-ex.mp3"
"første sal","en trappa upp (våning 1)","phrase","Vi bor på første sal.","Vi bor en trappa upp.","'Sal' = våningsplan. Obs: 'første sal' är EN trappa upp, inte bottenvåningen – den heter 'stueetage'.","hjem-og-familie-b1","b1","hjem|fras","audio/da-0a89661a129df8.mp3","audio/da-0a89661a129df8-ex.mp3"
"gift","gift (äktenskap) / gift (toxin)","other","Hun har været gift i ti år.","Hon har varit gift i tio år.","Dubbeltydigt: adjektivet 'gift' = gift (i äktenskap) OCH substantivet 'en gift' (en-ord) = ett gift/toxin. Förgiftad heter 'forgiftet'.","falske-venner-b2","b1","falsk-ven|asymmetrisk","audio/da-1962c1f7e9f268.mp3","audio/da-1962c1f7e9f268-ex.mp3"
"dyr","djur / dyr","other","Det er et farligt dyr, og det er meget dyrt at holde.","Det är ett farligt djur, och det är mycket dyrt att hålla.","Dubbeltydigt: substantivet 'et dyr' (et-ord) = ett djur, och adjektivet 'dyr' = dyr/kostsam. Sammanhanget avgör.","falske-venner-b2","b1","falsk-ven|asymmetrisk","audio/da-0c2648996a44e0.mp3","audio/da-0c2648996a44e0-ex.mp3"
"regne","regna / räkna","verb","Jeg regner med, at det begynder at regne snart.","Jag räknar med att det börjar regna snart.","Infinitiv: at regne. Dubbeltydigt: 'regne' = både regna och räkna. 'regne med' = räkna med (inte 'regna med'). 'regne ud' = räkna ut.","falske-venner-b2","b1","falsk-ven|asymmetrisk","audio/da-16635876f0797d.mp3","audio/da-16635876f0797d-ex.mp3"
"sky","moln / köttsky, gelé / blyg","other","Der er ikke en sky på himlen, og kødet ligger i sin egen sky.","Det finns inte ett moln på himlen, och köttet ligger i sin egen sky.","Falsk vän: 'sky' (en-ord: 'en sky') = moln ELLER klar köttsky/gelé, och som adjektiv = blyg. Det är INTE det vanliga ordet för sås (= 'sovs'). Svensk 'himmel' = 'himmel'.","falske-venner-b2","b2","falsk-ven|asymmetrisk","audio/da-1f16c439ed8b20.mp3","audio/da-1f16c439ed8b20-ex.mp3"
"semester","termin (akademisk)","noun","Det nye semester starter i september.","Den nya terminen börjar i september.","Et-ord: 'et semester'. FALSK VÄN: danska 'semester' = akademisk termin, INTE ledighet. Svensk semester (= ledighet) heter på danska 'ferie'.","falske-venner-b2","b1","falsk-ven|omvänd","audio/da-1f31adc72dec4e.mp3","audio/da-1f31adc72dec4e-ex.mp3"
"anledning","orsak, anledning","noun","Der er ingen anledning til at blive vred.","Det finns ingen anledning att bli arg.","En-ord: 'en anledning'. Asymmetrisk: betyder främst orsak/anledning samt 'tillfälle' i bemärkelsen 'i anledning af' (= med anledning av). Konkret tillfälle/möjlighet heter 'lejlighed'.","falske-venner-b2","b2","falsk-ven|asymmetrisk","audio/da-1f04797e4fa106.mp3","audio/da-1f04797e4fa106-ex.mp3"
"flink","vänlig, snäll","adj","Tak, det var flinkt af dig.","Tack, det var snällt av dig.","FALSK VÄN: danska 'flink' = vänlig/snäll, INTE snabb/händig. Svensk 'flink' (= snabb/händig) heter på danska 'hurtig' eller 'dygtig'.","falske-venner-b2","b1","falsk-ven|asymmetrisk","audio/da-025a00ecf9e0e0.mp3","audio/da-025a00ecf9e0e0-ex.mp3"
"rar","snäll, vänlig (om person)","adj","Hun er en rar og venlig kvinde.","Hon är en snäll och vänlig kvinna.","FALSK VÄN: danska 'rar' = snäll/vänlig om en person, INTE söt/näpen. Svensk 'rar' (= söt/näpen) heter på danska 'sød' eller 'nuttet'.","falske-venner-b2","b1","falsk-ven|asymmetrisk","audio/da-069384befd5dcf.mp3","audio/da-069384befd5dcf-ex.mp3"
"sød","söt, gullig / snäll","adj","Hvor er den hund sød!","Vad söt den hunden är!","Adjektiv. Täcker både söt/gullig och snäll. Det här är ordet för svensk 'söt/rar'. Jämför 'rar' = snäll (inte söt) och 'nuttet' = gullig.","falske-venner-b2","b1","falsk-ven|asymmetrisk","audio/da-0773cf05c27398.mp3","audio/da-0773cf05c27398-ex.mp3"
"hurtig","snabb","adj","Han er en hurtig løber.","Han är en snabb löpare.","Adjektiv. Det här är ordet för svensk 'snabb/flink'. Jämför falsk vän 'flink' = vänlig (inte snabb). Adv. 'hurtigt' = snabbt.","falske-venner-b2","b1","falsk-ven|asymmetrisk","audio/da-1a1c0730c833e2.mp3","audio/da-1a1c0730c833e2-ex.mp3"
"forgiftet","förgiftad","adj","Fisken var forgiftet af kemikalier.","Fisken var förgiftad av kemikalier.","Particip av 'at forgifte'. Använd detta, inte 'gift', när du menar förgiftad. 'gift' ensamt = gift (äktenskap) eller substantivet gift/toxin.","falske-venner-b2","b2","falsk-ven|asymmetrisk","audio/da-0ebeb85c68fa43.mp3","audio/da-0ebeb85c68fa43-ex.mp3"
"sovs","sås","noun","Der er for lidt sovs til kartoflerne.","Det är för lite sås till potatisen.","En-ord: 'en sovs'. Vanligaste ordet för sås. Förväxla inte med 'sky', som är den klara köttskyn/saften.","falske-venner-b2","b1","falsk-ven|stavning","audio/da-0952171bb1f75b.mp3","audio/da-0952171bb1f75b-ex.mp3"
"grineren","skoj, lattjo","phrase","Det var grineren, da han faldt i bassinet.","Det var skoj när han ramlade i bassängen.","Slang (av 'grine' = skratta): 'det var grineren' = det var skoj/lattjo. Inget med att grina/gråta att göra. Informellt.","falske-venner-b2","b2","falsk-ven|fras|asymmetrisk","audio/da-15d7f6c00f713c.mp3","audio/da-15d7f6c00f713c-ex.mp3"
"himmel","himmel","noun","Der er ikke en sky på himlen i dag.","Det finns inte ett moln på himlen i dag.","En-ord: 'en himmel'. Det här är ordet för svensk 'himmel'. Jämför 'sky' = moln (eller köttsky/blyg), inte himmel.","falske-venner-b2","b1","falsk-ven|omvänd","audio/da-157837d33de718.mp3","audio/da-157837d33de718-ex.mp3"
"dygtig","duktig, skicklig","adj","Hun er en dygtig håndværker.","Hon är en skicklig hantverkare.","Adjektiv. Ordet för svensk 'duktig/skicklig' och delvis 'flink' i betydelsen händig. Inte att förväxla med danska 'flink' = vänlig.","falske-venner-b2","b1","falsk-ven|asymmetrisk","audio/da-0d7e300cb86dc9.mp3","audio/da-0d7e300cb86dc9-ex.mp3"
